idx,ts,d1,d2,winner
161,2021-05-26 16:43:14,Altergeist,Rank5,Altergeist
162,2021-05-26 16:43:19,Altergeist,ToadallyAwesome,Altergeist
163,2021-05-26 16:43:30,Altergeist,ZexalWeapons,Altergeist
164,2021-05-26 16:43:46,Altergeist,SkyStriker,Altergeist
165,2021-05-26 16:43:52,Altergeist,Beater,Altergeist
166,2021-05-26 16:43:58,Altergeist,MokeyMokey,Altergeist
167,2021-05-26 16:44:06,Altergeist,Yosenju,Altergeist
168,2021-05-26 16:44:12,Altergeist,Mathmech,Altergeist
169,2021-05-26 16:44:18,Altergeist,Dragunity,Altergeist
170,2021-05-26 16:44:23,Altergeist,ChainBurn,Altergeist
171,2021-05-26 16:44:29,Altergeist,Nekroz,Altergeist
172,2021-05-26 16:44:37,Altergeist,Blackwing,Altergeist
173,2021-05-26 16:44:44,Altergeist,LightswornShaddoldinosour,Altergeist
174,2021-05-26 16:44:50,Altergeist,Evilswarm,Altergeist
175,2021-05-26 16:44:59,Altergeist,Level8,Altergeist
176,2021-05-26 16:45:05,Altergeist,Graydle,Altergeist
177,2021-05-26 16:45:16,Altergeist,Trickstar,Altergeist
178,2021-05-26 16:45:23,Altergeist,Rainbow,Altergeist
179,2021-05-26 16:45:34,Altergeist,Salamangreat,Salamangreat
180,2021-05-26 16:45:39,Altergeist,Lightsworn,Altergeist
181,2021-05-26 16:45:47,Altergeist,Orcust,Altergeist
182,2021-05-26 16:45:57,Altergeist,Gravekeeper,Altergeist
183,2021-05-26 16:46:13,Altergeist,BlueEyes,BlueEyes
184,2021-05-26 16:46:20,Altergeist,ST1732,Altergeist
185,2021-05-26 16:46:29,Altergeist,CyberDragon,Altergeist
186,2021-05-26 16:46:35,Altergeist,BlueEyesMaxDragon,Altergeist
187,2021-05-26 16:46:41,Altergeist,OldSchool,Altergeist
188,2021-05-26 16:46:47,Altergeist,Phantasm,Altergeist
189,2021-05-26 16:46:53,Altergeist,Horus,Altergeist
190,2021-05-26 16:47:10,Altergeist,Qliphort,Qliphort
191,2021-05-26 16:47:17,Altergeist,GrenMajuThunderBoarder,GrenMajuThunderBoarder
192,2021-05-26 16:47:25,Altergeist,Burn,Altergeist
193,2021-05-26 16:47:31,Altergeist,MokeyMokeyKing,Altergeist
194,2021-05-26 16:47:36,Altergeist,PureWinds,PureWinds
195,2021-05-26 16:47:43,DarkMagician,Zoodiac,Zoodiac
196,2021-05-26 16:47:49,Witchcraft,Zoodiac,Zoodiac
197,2021-05-26 16:47:54,Rank5,Zoodiac,Rank5
198,2021-05-26 16:48:07,ToadallyAwesome,Zoodiac,Zoodiac
199,2021-05-26 16:48:29,ZexalWeapons,Zoodiac,Zoodiac
200,2021-05-26 16:48:56,SkyStriker,Zoodiac,Zoodiac
201,2021-05-26 16:49:06,Beater,Zoodiac,Zoodiac
202,2021-05-26 16:49:16,MokeyMokey,Zoodiac,Zoodiac
203,2021-05-26 16:49:18,Yosenju,Zoodiac,Yosenju
204,2021-05-26 16:49:28,Mathmech,Zoodiac,Zoodiac
205,2021-05-26 16:49:38,Dragunity,Zoodiac,Zoodiac
206,2021-05-26 16:49:48,ChainBurn,Zoodiac,Zoodiac
207,2021-05-26 16:49:59,Nekroz,Zoodiac,Zoodiac
208,2021-05-26 16:50:09,Blackwing,Zoodiac,Zoodiac
209,2021-05-26 16:50:15,LightswornShaddoldinosour,Zoodiac,Zoodiac
210,2021-05-26 16:50:26,Evilswarm,Zoodiac,Zoodiac
211,2021-05-26 16:50:31,Level8,Zoodiac,Level8
212,2021-05-26 16:50:45,Graydle,Zoodiac,Zoodiac
213,2021-05-26 16:50:53,Trickstar,Zoodiac,Trickstar
214,2021-05-26 16:51:03,Rainbow,Zoodiac,Zoodiac
215,2021-05-26 16:51:10,Salamangreat,Zoodiac,Salamangreat
216,2021-05-26 16:51:16,Lightsworn,Zoodiac,Zoodiac
217,2021-05-26 16:51:19,Orcust,Zoodiac,Orcust
218,2021-05-26 16:51:29,Gravekeeper,Zoodiac,Zoodiac
219,2021-05-26 16:51:36,BlueEyes,Zoodiac,BlueEyes
220,2021-05-26 16:51:49,ST1732,Zoodiac,Zoodiac
221,2021-05-26 16:52:07,CyberDragon,Zoodiac,Zoodiac
222,2021-05-26 16:52:17,BlueEyesMaxDragon,Zoodiac,Zoodiac
223,2021-05-26 16:52:30,OldSchool,Zoodiac,Zoodiac
224,2021-05-26 16:52:35,Phantasm,Zoodiac,Phantasm
225,2021-05-26 16:52:48,Horus,Zoodiac,Zoodiac
226,2021-05-26 16:52:52,Qliphort,Zoodiac,Qliphort
